precision,recall,f1,fpr,false_positives,false_negatives,simulated_cost,roc_auc,pr_auc,held_out_cluster,mechanism,positive_examples,normal_comparison_size,training_rows,training_positive_examples,held_out_positive_training_examples,evaluation_start,evaluation_end,threshold,scaler_fit_rows,model_fit_rows
0.006181877338539124,0.8444444444444444,0.01227390180878553,0.6939679654663183,6109,7,31245.0,0.804851881303091,0.08040545761110987,abuse_01,shared_device,45,8803,1152,310,0,2025-01-09 09:50:52+00:00,2025-04-28 15:48:29+00:00,0.5,1152,1152
0.005346232179226069,0.9333333333333333,0.01063156562460448,0.8522194350528957,7814,3,39370.0,0.6584699652209741,0.010802918564649731,abuse_02,shared_payment_instrument,45,9169,786,310,0,2025-01-03 23:41:22+00:00,2025-04-27 21:40:40+00:00,0.5,786,786
0.11098130841121495,0.8260869565217391,0.1956745623069001,0.1169869331283628,761,20,5805.0,0.9363111987434416,0.5171235547966139,abuse_03,velocity_burst,115,6505,3380,240,0,2025-01-24 08:06:27+00:00,2025-04-15 01:28:37+00:00,0.5,3380,3380
0.2515151515151515,0.5533333333333333,0.3458333333333333,0.06201355761988451,247,67,7935.0,0.594622144112478,0.4848851550762899,abuse_04,cross_merchant_ring,150,3983,5867,205,0,2025-02-18 20:00:09+00:00,2025-04-09 01:28:38+00:00,0.5,5867,5867
