model,precision,recall,f1,pr_auc,roc_auc,false_positives,false_negatives,simulated_cost,threshold,pr_auc_absolute_vs_behavioral,pr_auc_relative_vs_behavioral,precision_improvement_vs_behavioral,f1_improvement_vs_behavioral
behavioral_baseline,0.5113636363636364,1.0,0.6766917293233082,0.8085690332277923,0.9944864452080947,43,0,215.0,0.5,0.0,0.0,0.0,0.0
graph_only,0.5757575757575758,0.4222222222222222,0.48717948717948717,0.5949770641331036,0.974188621611302,14,26,2670.0,0.6,-0.2135919690946887,-0.26416046165165835,0.06439393939393945,-0.18951224214382106
behavioral_graph,0.6046511627906976,0.5777777777777777,0.5909090909090909,0.6158569010363135,0.9739137075219549,17,19,1985.0,0.4,-0.19271213219147876,-0.23833726530705185,0.09328752642706128,-0.0857826384142173
